Country;Happiness.Score;Generosity;
Norway;753.700.017.929.077;0.36201223731041;
Denmark;752.199.983.596.802;0.355280488729477;
Iceland;750.400.018.692.017;0.475540220737457;
Switzerland;749.399.995.803.833;0.290549278259277;
Finland;74.689.998.626.709;0.24548277258873;
Netherlands;73.769.998.550.415;0.470489829778671;
Canada;731.599.998.474.121;0.435539722442627;
New Zealand;731.400.012.969.971;0.500005125999451;
Sweden;728.399.991.989.136;0.385399252176285;
Australia;728.399.991.989.136;0.477699249982834;
Israel;721.299.982.070.923;0.330082654953003;
Costa Rica;70.789.999.961.853;0.214613229036331;
Austria;700.600.004.196.167;0.316472321748734;
United States;699.300.003.051.758;0.392578780651093;
Ireland;697.700.023.651.123;0.42785832285881;
Germany;695.100.021.362.305;0.336269170045853;
Belgium;689.099.979.400.635;0.231503337621689;
Luxembourg;686.299.991.607.666;0.283180981874466;
United Kingdom;671.400.022.506.714;0.492774158716202;
Chile;665.199.995.040.894;0.326662421226501;
United Arab Emirates;664.799.976.348.877;0.3609419465065;
Brazil;663.500.022.888.184;0.16234989464283;
Czech Republic;660.900.020.599.365;0.0881067588925362;
Argentina;659.899.997.711.182;0.109457060694695;
Mexico;657.800.006.866.455;0.120990432798862;
Singapore;657.200.002.670.288;0.345965981483459;
Malta;652.699.995.040.894;0.574730575084686;
Uruguay;64.539.999.961.853;0.175096929073334;
Guatemala;64.539.999.961.853;0.283488392829895;
Panama;64.520.001.411.438;0.21055693924427;
France;644.199.991.226.196;0.129762306809425;
Thailand;642.399.978.637.695;0.572123110294342;
Taiwan Province of China;642.199.993.133.545;0.258360475301743;
Spain;640.299.987.792.969;0.190133571624756;
Qatar;6.375;0.330473870038986;
Colombia;635.699.987.411.499;0.149014472961426;
Saudi Arabia;63.439.998.626.709;0.147616013884544;
Trinidad and Tobago;616.800.022.125.244;0.325296461582184;
Kuwait;610.500.001.907.349;0.228289797902107;
Slovakia;609.800.004.959.106;0.136544480919838;
Bahrain;608.699.989.318.848;0.172668486833572;
Malaysia;608.400.011.062.622;0.416608929634094;
Nicaragua;607.100.009.918.213;0.301674216985703;
Ecuador;600.799.989.700.317;0.150112465023994;
El Salvador;600.299.978.256.226;0.0782579854130745;
Poland;597.300.004.959.106;0.158465966582298;
Uzbekistan;597.100.019.454.956;0.415983647108078;
Italy;596.400.022.506.714;0.17278964817524;
Russia;596.299.982.070.923;0.0522638224065304;
Belize;595.599.985.122.681;0.240015640854836;
Japan;592.000.007.629.395;0.12057276815176;
Lithuania;590.199.995.040.894;0.010164656676352;
Algeria;587.200.021.743.774;0.0694366469979286;
Latvia;584.999.990.463.257;0.153074786067009;
South Korea;583.799.982.070.923;0.206674367189407;
Moldova;583.799.982.070.923;0.208779126405716;
Romania;582.499.980.926.514;0.133519917726517;
Bolivia;582.299.995.422.363;0.22556072473526;
Turkmenistan;582.200.002.670.288;0.24992498755455;
Kazakhstan;581.899.976.730.347;0.201964423060417;
North Cyprus;580.999.994.277.954;0.266845703125;
Slovenia;575.799.989.700.317;0.242649093270302;
Peru;571.500.015.258.789;0.126819714903831;
Mauritius;562.900.018.692.017;0.360933750867844;
Cyprus;562.099.981.307.983;0.271254301071167;
Estonia;561.100.006.103.516;0.0988908112049103;
Belarus;556.899.976.730.347;0.15513750910759;
Libya;552.500.009.536.743;0.152073666453362;
Turkey;5.5;0.0466930419206619;
Paraguay;549.300.003.051.758;0.224150657653809;
Hong Kong S.A.R.;71;0.490968644618988;0.554633140563965
Philippines;542.999.982.833.862;0.193513423204422;
Serbia;539.499.998.092.651;0.220125883817673;
Jordan;533.599.996.566.772;0.172170460224152;
Hungary;532.399.988.174.438;0.0784016624093056;
Jamaica;531.099.987.030.029;0.233818337321281;
Croatia;529.300.022.125.244;0.248002976179123;
Kosovo;527.899.980.545.044;0.319931447505951;
China;527.299.976.348.877;0.0288068410009146;
Pakistan;526.900.005.340.576;0.315446019172668;
Indonesia;526.200.008.392.334;0.611704587936401;
Venezuela;5.25;0.0650196298956871;
Montenegro;523.699.998.855.591;0.197911024093628;
Morocco;52.350.001.335.144;0.0322099551558495;
Azerbaijan;523.400.020.599.365;0.0452693402767181;
Dominican Republic;523.000.001.907.349;0.186967849731445;
Greece;522.700.023.651.123;0;
